,0
424,"butorsAlive Lyrics[Hook: Chad Gardner]
What's the difference if we fight fair?
'Cause you live to lie
So are you ready for a nightmare?
I'm right here, alive!

[Verse 1: Beleaf]
I figured it out
I've been just kickin' it, livin' in doubt
Livin' so timidly, uh
I live with fear and it limits me
Can't let the enemy hinder me
Handle these bars
Live in the land of the lost
But I'm disobeying the law
Yeah, I can see through the fog
It's like I be seeing my God
Yeah, it's just me and my dogs
Whole squad ain't scared to handle any beef
Please don't let 'em try to let us off the leash
Ain't nobody really tryna mess with Beleaf
I'll body anybody, anybody wanna see?
Who the illest out there? I don't care
I ain't walking 'round here with the fear no where
Don't worry, I ain't goin' nowhere
So you know, no, we don't fight fair
You might also like[Verse 2: Braille]
Naw, naw, no, we don't fight fair
When the light's on, the darkness is gone
This is a war that you cannot win
Must keep in mind that you're just a pawn
Not in control, no, not for a minute
Even when I get pushed to my limits
I belong to the King, mind, body and spirit
You're a lie, I'm alive, that's the difference

[Hook: Chad Gardner]
What's the difference if we fight fair?
'Cause you live to lie
So are you ready for a nightmare?
I'm right here, alive!

[Bridge: Derek Minor]
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Alive, alive
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Alive, alive
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Alive, alive
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Alive, alive
[Verse 3: Chad Gardner]
Don't you get that I'm defended?
I will never die
It’s a battle that you can’t win
This love, it keeps me alive
And I won’t ever have to die your death
My final breath the birth of life
And I will rise up resurrected
My past and future in Christ
You will never feel my freedom
The embrace of light
Know the power of a new life
Where fear and faith can collide
You’ll never see me in the fiery depths
My soul is kept in paradise
Until I rise up resurrected
I’m right here, right now, alive
And I can hear the beat of heaven
Feel the pulse of life
In my blood and in my future
It keeps my feet in the fight
You’ll never see my in the fiery depths
My soul is kept in paradise
Until I rise up resurrected
I’m right here, right now, alive
[Outro: Chad Gardner]
'Til I rise up resurrected
I’m right here, right now, alive
'Til I rise up resurrected
I’m right here, right now, alive
I’m right here, right now, alive
I’m right here, right now, aliveEmbe"
425,"butorsWonderful Maker LyricsYou spread out the skies over empty space
Said, ""Let there be light""
To a dark and formless world Your light was born
You spread out Your arms over empty hearts
Said, ""Let there be light""
To a dark and hopeless world Your Son was born

You made the world and saw that it was good
You sent Your only Son, for You are good

What a wonderful Maker
What a wonderful Saviour
How majestic Your whispers
And how humble Your love
With a strength like no other
And the heart of a Father
How majestic Your whispers
What a wonderful God

No eye has fully seen how beautiful the cross
And we have only heard the faintest whispers of how great You are
How great You are

You made the world and saw that it was good
You sent Your only Son, for You are good
You might also likeWhat a wonderful Maker
What a wonderful Saviour
How majestic Your whispers
How humble Your love
With a strength like no other
And the heart of a Father
How majestic Your whispers
What a wonderful God

What a wonderful God
What a wonderful God

What a wonderful Maker
What a wonderful Saviour
How majestic Your whispers
And how humble Your love
With a strength like no other
And the heart of a Father
How majestic Your whispers
What a wonderful God

What a wonderful Maker
Jesus
What a wonderful SaviourEmbe"
426,"butorsCosmosis Lyrics[Tony Allen]
Cosmosis

[Verse 1: Ben Okri]
Let’s talk about the science
Of how things break
How the heart breaks
How the age founders, shatters
With no one listening
How the mind quakes
How we lose all that matters
Oh, the music of the bones
Music of seige and white stones

Let’s talk about the art
Of how things break
Things that were hard to make
Things like peace, and love, and mead
How the nations shape
How the good is lost to the fake
Oh, brief change by osmosis
Change and the music of Cosmosis

But Sufis sing about
The music of how things turn
Things the other ones want to bury or burn
Things like unity, friendship, relativity
Things that when dead, we'll mourn
How the music runs in this stream
How can we in these troubled times dream?
You might also likeOh there are spirits dancing in the slipstream
Howl and fire in a drum dream

[Chorus: Skepta]
Yeah
She was looking for a prince
Oh now she’s hitting the road
She tried kissing a frog
Oh now she’s licking a toad
Spiritual girl, she’s got a story to tell
She taught me to love myself, forget everyone else
Forget and I forgive, I don’t give it attention
How you feel about me?
Uh, It's just a reflection
I’m out of my ego, I’m back into space
Hold me in your arms and feel the connection

[Bridge: Tony Allen]
Cosmosis
Cosmosis
Yeah, man

[Verse 2: Ben Okri & Tony Allen]
The present moment began with fire
And still, it burns
Cosmosis
The present moment began with fire
And still, it burns
Yeah
It began with water
Cosmosis
And still, they drown, and still, they drown
Yeah, man
On the margins of Europe
The present moment began with fire
And still, it burns
The present moment began with fire
And still, it burns
It began with water
And still, they drown, still, they drown
It began with air, see how the bombs fall
On houses made of sand
Dreams made of flesh

[Chorus: Skepta]
She was looking for a prince
Oh now she’s hitting the road
She tried kissing a frog
Oh now she’s licking a toad
Spiritual girl, she’s got a story to tell
She taught me to love myself, forget everyone else
Forget and I forgive, I don’t give it attention
How you feel about me?
Uh, It's just a reflection
I’m out of my ego, I’m back into space
Hold me in your arms and feel the connection

[Outro: Tony Allen & Ben Okri]
Yeah
The world’s going to change because Cosmosis
Check it out
When will this story of our nation
Change and shine?
Cosmosis
Cosmosis
(Muffled)
Oh there are spirits dancing in the slipstream
Howl and fire in a drum dream1Embe"
427,"butorIn the Valley (Bless the Lord) Lyrics[Verse 1: Tiarne Kleyn]
When the path that I feared
Is the way He has set
And I long to give in and retreat
Still to Jesus I hold
As I face every step
For the Lord He will give me His peace

[Chorus: Tiarne Kleyn]
Bless the Lord! He will give me His peace
Bless the Lord! He will give me His peace
And if I should remain in the valley today
Bless the Lord, He will give mе His peace

[Verse 2: Sandra McCracken]
When thе road that I tread
Fills my heart with despair
And it seems that my grief has no end
Still to Jesus I hold
Who will walk with me there
And the Lord He will give me His strength

[Chorus: Tiarne Kleyn & Sandra McCracken]
Bless the Lord! He will give me his strength
Bless the Lord! He will give me his strength
And if I should remain in the valley today
Bless the Lord, He will give me His strength
You might also like[Verse 3: Tiarne Kleyn w/ Sandra McCracken]
On the road that You walked
With the weight of the cross
All my pain and my sorrow You held
So to you I shall hold
You redeem every loss
For my Lord, you have given yourself

[Chorus: Tiarne Kleyn & Sandra McCracken]
Bless the Lord! For he gives me Himself
Bless the Lord! For he gives me Himself
And if I should remain in the valley today
Bless the Lord! For He gives me Himself
Bless the Lord! For he gives me Himself
Bless the Lord! For he gives me Himself
And if I should remain in the valley today
Bless the Lord! For He gives me Himself
Bless the Lord! For He gives me HimselfEmbe"
428,"butorsBattle Hymn of the Republic LyricsMine eyes have seen the glory of the coming of the Lord
He is trampling out the vintage where the grapes of wrath are stored
He has loosed the fateful lightening of His terrible swift sword
His truth is marching on

CHORUS:
Glory! Glory! Hallelujah!
Glory! Glory! Hallelujah!
Glory! Glory! Hallelujah!
His truth is marching on

I have seen Him in the watch-fires of a hundred circling camps
They have builded Him an altar in the evening dews and damps
I can read His righteous sentence by the dim and flaring lamps
His day is marching on

CHORUS

I have read a fiery gospel writ in burnish'd rows of steel

""As ye deal with my condemners, So with you my grace shall deal;""
Let the Hero, born of woman, crush the serpent with his heel
Since God is marching on

CHORUS
You might also likeHe has sounded form the trumpet that shall never call retreat
He is sifting out the hearts of men before His judgment-seat
Oh, be swift, my soul, to answer Him! be jubilant, my feet!
Our God is marching on

CHORUS

In the beauty of the lilies Christ was born across the sea
With a glory in His bosom that transfigures you and me:
As He died to make men holy, let us die to make men free
While God is marching on

CHORUSEmbe"
429,"butorsShall We Gather at the River? LyricsShall we gather at the river
Where bright angels feet have trod
With it's crystal tides forever
Flowing by the throne of God
Yes, we'll gather at that river
The beautiful, the beautiful river
Gather with the saints at that river
That flows by the throne of God
--- Instrumental ---
When we reach that shining river
We'll lay every burden down
Then grace our spirits will deliver
And will receive our robe and crown
Yes, we'll gather at that river
The beautiful, the beautiful river
Gather with the saints at that river
That flows by the throne of God
--- Instrumental ---
Soon we'll reach that silver river
Soon our pilgrimage will cease
Soon our happy hearts will quiver
With the melody of peace
Yes, we'll gather at that river
The beautiful, the beautiful river
Gather with the saints at that river
That flows by the throne of God
Oh yes, we'll gather at that river
That flows by the throne of God
That flows by the throne of God...You might also likeEmbe"
430,"butorCalvary and Nothing Less LyricsCalvary and nothing less
That's where I found love
Calvary and nothing less
That's where I let go of myself
O perfect love, love complete
Nothing less than Calvary
Calvary and nothing less, oh...

I couldn't believe that it was me
Lookin' for love
Where are my friends, they're all gone now
Can't get in touch
O the need in me, it goes way down
People can't fill
But I found peace, right here on earth
On the top of a hill called...

Calvary and nothing less
Oh, that's where I found love
Calvary and nothing less
That's where I let go of myself
O perfect love, love complete
It was nothing less than Calvary
Calvary and nothing less, oh...

Now I've got somebody
Who's here all the time
Who understands me
He knows me best and loves me most
Meets all my needs
There's nothing so big that He can't solve
Or so small that He won't care
I brought my struggle to Him
Laid it down at His cross
And left it there at...
You might also likeCalvary and nothing less
Oh, that's where I found love
Calvary and nothing less
That's where I let go of myself
O perfect love, love complete
Nothing less than Calvary
Calvary, oh, and nothing less

What perfect love
(It was a perfect love)
Love so complete
(Love so complete)
That God Himself
(Thank You, Lord, thank You Lord)
Would die for me
(You died for me)

What perfect love
(Oh, it was a perfect love)
Love so complete
(Love so complete)
That God Himself
(Thank You, Lord, thank You Lord)
Would die for me
(That He died, died for me, oh, yeah)
All because of...
All because of Calvary
That's where I found love
Oh, that's where I let go
(Such a perfect)
O perfect love, love complete
Nothing less than Calvary
Yeah, yeah, it was a perfect love
Love complete
Oh, a perfect love, love complete
Nothing less than Calvary
Calvary and nothing less
Oh, Calvary and nothing lessEmbe"
431,"
There are days so dark that I seek in vain
For the face of my Friend divine
But though darkness hide, He is there to guide
By the touch of His hand on mine

[Chorus]
Oh, the touch of His hand on mine (On mine)
Oh, the touch of His hand on mine (On mine)
There is grace and power, in the trying hour
In the touch of His hand on mine

"
432,"butorsWonderful Peace LyricsPeace, peace, wonderful peace
Coming down from the Father above
Sweep over my spirit forever, I pray
In fathomless billows of love

Far away in the depths of my spirit tonight
Rolls a melody sweeter than psalm
In celestial-like strains it unceasingly falls
O'er my soul like an infinite calm

Peace, peace, wonderful peace
Coming down from the Father above
Sweep over my spirit forever, I pray
In fathomless billows of love
In fathomless billows of loveYou might also likeEmbe"
433,"butorsJust Over In The Gloryland LyricsI've a home prepared, where the saints abide
Just over in the Gloryland!
And I long to be by my Savior's side
Just over in the Gloryland!
Chorus
Just over in the Gloryland
I'll join the happy angel band
Just over in the Gloryland!
Just over in the Gloryland
There with the mighty host I'll stand
Just over in the Gloryland!
I am on my way to those mansions fair
Just over in the Gloryland!
There to sing God's praise and His glory share
Just over in the Gloryland!
Chorus
Just over in the Gloryland
I'll join the happy angel band
Just over in the Gloryland!
Just over in the Gloryland
There with the mighty host I'll stand
Just over in the Gloryland!
What a joyful thought that my Lord, I'll see
Just over in the Gloryland!
And with kindred saved, there forever be
Just over in the Gloryland!
Chorus
Just over in the Gloryland
I'll join the happy angel band
Just over in the Gloryland!
Just over in the Gloryland
There with the mighty host I'll stand Just over in the Gloryland!
With the blood-washed throng, I will shout and sing
Just over in the Gloryland!
Glad hosannas to Christ, the Lord and King
Just over in the Gloryland!
Chorus
Just over in the Gloryland
I'll join the happy angel band
Just over in the Gloryland!
Just over in the Gloryland
There with the mighty host I'll stand
Just over in the Gloryland!You might also likeEmbe"
434,"
Son of man
Son of righteousness
King of the earth
For sinners slain
I was lost
In darkness bound
You ransomed my heart
And I will sing


[Verse 1]
Son of man (Son of man)
Son of righteousness
King of the earth
For sinners slain
I was lost
In darkness bound
You ransomed my heart
And I will sing

[Pre-Chorus]
My strength
My deliverer
The one who rescued me
My hope
My redeemer
Your love has set me free
See Tye Tribbett LiveGet tickets as low as $114You might also like[Chorus]
Bless the Lord
Oh my soul
Bless the Lord
Oh my soul
Bless the Lord
Oh my soul
Bless the Lord
Oh my soul

[Bridge]
In the splendor of your majesty
From deep within my spirit sings
Holy, Holy

In the splendor of your majesty
From deep within my spirit sings
Holy, Holy

In the splendor of your majesty
From deep within our spirit sings
Holy, Holy

[Vamp]
Holy
Holy
Holy
Holy
[Chorus]
Bless the Lord
Oh my soul
Bless the Lord
Oh my soul
Bless the Lord
Oh my soul
Bless the Lord
Oh my soul1Embe"
435,"butorsMy Saviour Leads Me LyricsAll the way my Saviour leads me
What have I to ask beside?
Can I doubt His tender mercy
Who through life has been my Guide?
Heavenly peace, divinest comfort
Here by faith with Him to dwell
For I know what e'er befalls me
Jesus doeth all things well
Jesus doeth all things well

All the way my Saviour leads me
Cheers each winding path I trod
Gives me grace for every trial
Feeds me with the living bread
Tho' my weary steps may falter
And my soul athirst may be
Gushing from the rock before me
Lo! A spring of joy I see
Lo! A spring of joy I see

All the way my Saviour leads me
Oh the fullness of His love
Perfect rest to me is promised
In my Father's house above
When my spirit, clothed immortal
Wings its flight to realms of day
This my song through endless ages
Jesus led me all the way
When my spirit, clothed immortal
Wings its flight to realms of day
This my song through endless ages
Jesus led me all the way
Jesus led me all the way
Jesus led me all the wayYou might also likeEmbe"
436,"butorsWho at My Door is Standing LyricsWho at my door is standing
Patiently drawing near
Entrance within demanding?
Whose is the voice I hear?
Refrain
Sweetly the tones are falling;
Â€œOpen the door for Me!
If thou wilt heed My calling
I will abide with thee.â€
Lonely without He's staying;
Lonely within am I;
While I am still delaying
Will He not pass me by?
Refrain
All through the dark hours dreary
Knocking again is He;
Jesus, art Thou not weary
Waiting so long for me?
Refrain
Door of my heart, I hasten!
Thee will I open wide
Though He rebuke and chasten
He shall with me abide
RefrainYou might also likeEmbe"
437,"butorsFor The Beauty Of The Earth LyricsFor the beauty of the earth
For the beauty of the skies
For the love which from our birth
Over and around us lies
Over and around us lies

Lord of all, to thee we raise
This our joyful hymn of praise

For the beauty of the hour
Of the day and of the night
Hill and vale and tree and flower
Sun and moon and stars of light
Sun and moon and stars of light

Lord of all, to thee we raise
This our joyful hymn of praise

For the joy of human love
Brother, sister, parent, child
Friends on earth and friends above
For all gentle thoughts and mild
For all gentle thoughts and mild

Lord of all, to thee we raise
This our joyful hymn of praise
See John Rutter LiveGet tickets as low as $25You might also likeFor each perfect gift of thine
To our race so freely given
Graces human and divine
Flow'rs of earth and buds of heav'n
Flow'rs of earth and buds of heav'n

Lord of all, to thee we raise
This our joyful hymn, our joyful hymn of praise
This our joyful hymn of praise1Embe"
438,"butorMoment By Moment LyricsMoment by moment, day by day
Learning about You, You show me Your ways
Precept on precept, building through time
Helping me to leave the old ways behind

""I will be there when you call
Holding to you most of all
Even when night shadows fall
I will be there when you call
Out My name""
And every other sound fades away
And every other sign fades from view
In the glory and the power that is You

Moment by moment, day by day
Growing in God's love, my spirit will stay
Precept on precept, line upon line
Building foundations that last through all times

""I will be there when you call
Holding to you most of all
Even when night shadows fall
I will be there when you call
Out My name""
And every other sound fades away
And every other sign fades from view
In the glory and the power that is You
You might also likeWash me in Your love until You find
Only what You've placed in me is left behind

Moment by moment, day by day
Moment by moment, day by day
Moment by moment, day by day
Moment by moment, day by day
Moment by moment, day by day

Moment by moment, day by dayEmbe"
439,1
440,"butorI Am Resolved LyricsI am resolved no longer to linger
Charmed by the world's delight
Things that are higher
Things that are nobler
These have allured my sight
I will hasten to Him
Hasten so glad and free
Jesus, greatest, highest
I will come to Thee
I am resolved to go to the Savior
Leaving my sin and strife
He is the true one
He is the just one
He hath the words of life
I will hasten to Him
Hasten so glad and free
Jesus, greatest, highest
I will come to Thee
I am resolved to follow the Savior
Faithful and true each day
Heed what He sayeth
Do what He willeth
He is the living way
I will hasten to Him
Hasten so glad and free
Jesus, greatest, highest
I will come to TheeYou might also likeEmbe"
441,"butorsGod Leads Us Along LyricsIn shady, green pastures, so rich and so sweet
God leads His dear children along
Where the water's cool flow bathes the weary one's feet
God leads His dear children along

Some through the waters, some through the flood
Some through the fire, but all through the blood
Some through great sorrow, but God gives a song
In the night season and all the day long

Sometimes on the mount where the sun shines so bright
God leads His dear children along
Sometimes in the valley, in darkest of night
God leads His dear children along

Though sorrows befall us and evils oppose
God leads His dear children along
Through grace we can conquer, defeat all our foes
God leads His dear children along

Away from the mire, and away from the clay
God leads His dear children along
Away up in glory, eternity's day
God leads His dear children alongSee The Gaither Vocal Band LiveGet tickets as low as $10You might also likeEmbe"
442,
443,"butorJesus Is The Sweetest Name I Know LyricsThere have been names that I have loved to hear
But never has there been a name so dear
To this heart of mine
As the name divine
The precious, precious name of Jesus

Jesus is the sweetest name I know
And He’s just the same as his holy name
And that’s the reason why I love Him so
Jesus is the sweetest name I know

There is no name in earth or heaven above
That we should give such honor and such love
As the blessed name
Let us all acclaim
That wondrous, glorious name of Jesus

Jesus is the sweetest name I know
And He’s just the same as his holy name
And that’s the reason why I love Him so
Jesus is the sweetest name I knowYou might also likeEmbe"
444,"butorGrace Greater than Our Sin LyricsGrace Greater Than Our Sin

Marvelous grace of our loving Lord
Grace that exceeds our sin and our guilt
Yonder on Calvary's mount outpoured
There where the blood of the Lamb was spilt

Grace grace God's grace
Grace that will pardon and cleanse within
Grace grace God's grace
Grace that is greater than all our sin

Marvelous infinite matchless grace
Freely bestowed on all who believe
You that are longing to see His face
Will you this moment His grace receivеEmbe"
445,"
If you don't like your sister, don't you carry her name abroad
Blessed be the name of the Lord
Yes, take her in your bosom and carry her home to God
Blessed be the name of the Lord

[Chorus]
Oh, blessed be the name
Blessed be the name
Blessed be the name of the Lord
Oh, blessed be the name
Blessed be the name
Oh, blessed be the name of the Lord

"
446,butorsHosanna Loud Hosanna Lyrics[Indistinguishable]You might also likeEmbe
447,"butorRejoice, the Lord Is King LyricsLift up your voice
Sing and rejoice
He is the King!
He's worthy of our praise
Let the song be raised

Rejoice, the Lord is King
Your Lord and King adore
(Him we adore)
Rejoice, give thanks and sing
And triumph evermore
Lift up your heart
Lift up your voice!
Rejoice, again I say, rejoice!
(I say, rejoice!)

Rejoice, rejoice
Rejoice, people, rejoice!

The Lord our Savior reigns
The God of truth and love
When He had purged our stains
He took His seat above
Lift up your heart
Lift up your voice!
Rejoice, again I say, rejoice!
You might also likeAgain I say, rejoice!
Again I say, rejoice!
Again I say, rejoice!
And praise His name

Again I say, rejoice!
Again I say, rejoice!
Again I say, rejoice!
And praise His name
I say, rejoice!
Say, I say, rejoice!

His kingdom cannot fail
He rules o'er earth and heav'n
(Over earth and heaven)
The keys of death and hell
Are to our Jesus giv'n
Lift up your heart
Lift up your voice!
Rejoice, again I say, rejoice!
(I say, rejoice!)

Rejoice, rejoice
Rejoice, rejoice, rejoice
Again, I say, rejoice!
Rejoice in glorious hope
Our Lord, the judge shall come
(He shall come)
And take His servants up
To their eternal home
Lift up your heart
Lift up your voice!
Rejoice, again I say, rejoice!

I say, rejoice, I say, rejoice
I say, rejoice, lift your voices
I say, rejoice, I say, rejoice
(Let your joy be heard everywhere)
I say, rejoice, lift your voices

I say, rejoice, I say, rejoice
(Let your joy be heard everywhere)
I say, rejoice, lift your voices
I say, rejoice, I say, rejoice
(Let your joy be heard everywhere)
I say, rejoice, lift your voices
I say, rejoice!Embe"
448,"butorAnd Can It Be LyricsAnd can it be that I should gain
An interest in the Savior's blood
Died He for me, who caused His pain
For me, who Him to death pursued

Amazing love, how can it be
That thou, my God, shouldst die for me
Amazing love, how can it be
That thou, my god shouldst die for me

Long my imprisoned spirit lay
Fastbound in sin and nature's night
Thine eye diffused a quickening ray
I woke the dungeon flamed with light
My chains fell off, my heart was free
I rose, went forth, and followed thee
No condemnation now I dread
Jesus, and all in Him, is mine
Alive in Him, my living head
And clothed in righteousness divine
Bold I approach the eternal throne
And claim the crown through Christ my own

Amazing love, how can it be
That thou, my God, shouldst die for meYou might also likeEmbe"
449,"
Crashing through the sky
Comes a fearful cry
Cobra! (Cobra!!!) Cobra! (Cobra!!!)
Armies of the night
Evil taking flight
Cobra! (Cobra!!!) Cobra! (Cobra!!!)
Nowhere to run
Nowhere to hide
Panic spreading far and wide
Who can turn the tide?

[Chorus]
G.I. Joe (A real American hero)
[Yo Joe!]
G.I. Joe will dare
G.I. Joe (A real American hero)
G.I. Joe is there
Fighting for freedom wherever there's trouble over land and sea and air
G.I. Joe is there!

"
450,"
I didn't want to be the one to forget
I thought of everything I'd never regret
A little time with you is all that I get
That's all we need because it's all we can take
One thing I never see the same when you're 'round
I don’t believe in him, his lips on the ground
I wanna take you to that place in the Roche
But no one gives us any time anymore
He asks me once if I'd look in on his dog
You made an offer for it, then you ran off
I got this picture of us kids in my head
And all I hear is the last thing that you said

[Pre-Chorus]
""I listened to your problems, now listen to mine""
I didn't want to anymore, oh-oh-oh

[Chorus]
And we will never be alone again
'Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
'Cause I know it unlocks like a door
And we will never be alone again
'Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
Some more again
You might also like"
451,"butorsBe Thou My Vision LyricsBe Thou my Vision, O Lord of my heart;
Naught be all else to me, save that Thou art
Thou my best Thought, by day or by night
Waking or sleeping, Thy presence my light

Be Thou my Wisdom, and Thou my true Word;
I ever with Thee and Thou with me, Lord;
Thou my great Father, I Thy true son;
Thou in me dwelling, and I with Thee one

Riches I heed not, nor man's empty praise
Thou mine Inheritance, now and always:
Thou and Thou only, put first in my heart
High King of Heaven, my Treasure Thou art

Oh, God, be my everything, be my delight
Be, Jesus, my glory My soul's satisfied
Oh, God, be my everything, be my delight
Be, Jesus, my glory My soul's satisfied

My Jesus, you satisfy
My Jesus, you satisfy

High King of Heaven, my victory won
May I reach Heaven's joys, bright Heaven's Sun!
Heart of my own heart, whatever befall
Still be my Vision, O Ruler of all
You might also likeOh, God, be my everything, be my delight
Be, Jesus, my glory My soul's satisfiedEmbe"
